,ROLES,COMPANIES,LOCATIONS,EXPERIENCE,SKILLS,DATES,PRESENTDATE,SALARY,LINKS,SPECIALITY,DESCRIPTION
55,Looking For Python Full Stack Developer - Immediate Joinees Preferred,AUTOINTELLI SYSTEMS PRIVATE LIMITED,Bengaluru,3-6 Yrs,"('Technical Architect', 'Orchestration', 'Angularjs', 'Linux architect', 'Postgresql', 'Full stack development', 'angular', 'Django')",13 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-looking-for-python-full-stack-developer-immediate-joinees-preferred-autointelli-systems-private-limited-bengaluru-bangalore-3-to-6-years-261120002595?src=jobsearchDesk&sid=1607533407533298&xp=16&px=3,NULL,Deep understanding in Python and Angular Experience using a Django/Flask Frameworks Mus...
56,Senior Software Developer - PHP/ Node.js/ Python,VoiceTree Technologies,Noida,3-7 Yrs,"('IT Skills', 'Python', 'PHP', 'Cloud', 'Node.js', 'AWS', 'RESTful API', 'NoSQL')",30 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-developer-php-node-js-python-voicetree-technologies-noida-3-to-7-years-240420903074?src=jobsearchDesk&sid=1607533407533298&xp=17&px=3,PREMIUM,"You should have a deep understanding of system design, data structures, and algorithms ..."
57,Lead Software Engineer- (Java Node jS AWS),Blue Ocean Catalyst Private Limited,Bengaluru,4-8 Yrs,"('Computer science', 'GIT', 'NoSQL', 'Linux', 'Coding', 'Debugging', 'SCALA', 'Release management')",16 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-lead-software-engineer-java-node-js-aws-blue-ocean-catalyst-private-limited-bengaluru-bangalore-4-to-8-years-231120500033?src=jobsearchDesk&sid=1607533407533298&xp=18&px=3,NULL,"What you'll do A Lead Software Engineer develop, document, and test software to ensure ..."
58,UI UX Developer,BALBOA TECH PRIVATE LIMITED,Delhi NCR(Rajendra Place),4-6 Yrs,"('Visual Studio', 'Angular', 'Javascript', 'CSS', 'Azure', 'Express', 'HTML', 'SQL Server')",21 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ui-ux-developer-balboa-tech-private-limited-delhi-ncr-4-to-6-years-231020003246?src=jobsearchDesk&sid=1607533407533298&xp=19&px=3,HOT JOB,Bachelors degree or Masters degree in Engineering or Technical course Experience with R...
59,Backend Web Developer - PHP/ Mysql/ Mongodb,Zebu Animation,"Trivandrum, Thiruvananthapuram",4-8 Yrs,"('IT Skills', 'Java', 'Python', 'PHP', 'HTML', 'CSS', 'Ruby on Rails', 'PostgreSQL')",30 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-web-developer-php-mysql-mongodb-zebu-animation-trivandrum-thiruvananthapuram-4-to-8-years-220620906386?src=jobsearchDesk&sid=1607533407533298&xp=20&px=3,PREMIUM,"Required Skills : Strong knowledge of PHP, HTML, XHTML"
60,Senior Software Engineer,Blue Ocean Catalyst Private Limited,Bengaluru,2-6 Yrs,"('Computer science', 'GIT', 'NoSQL', 'Linux', 'Coding', 'Debugging', 'Digital marketing', 'Release management')",18 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-engineer-blue-ocean-catalyst-private-limited-bengaluru-bangalore-2-to-6-years-211120500105?src=jobsearchDesk&sid=1607533518114428&xp=1&px=4,NULL,"What you'll do A Lead Software Engineer develop, document, and test software to ensure ..."
61,Senior Software Developer- Backend,IBM India Pvt. Limited,Bengaluru,6-8 Yrs,"('MVC Architecture', 'Java', 'Software Development', 'GIT', 'Linux', 'Artificial Intelligence', 'Object Oriented Design', 'Rest Api')",20 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-developer-backend-ibm-india-pvt-limited-bengaluru-bangalore-6-to-8-years-191120904006?src=jobsearchDesk&sid=1607533518114428&xp=2&px=4,HOT JOB,Required Technical and Professional ExpertisePreferred Technical and Professional Exper...
62,Senior Software Developer- Backend,IBM India Pvt. Limited,Bengaluru,6-8 Yrs,"('MVC Architecture', 'Java', 'Software Development', 'GIT', 'Linux', 'Object Oriented Design', 'Rest Api', 'Bash')",20 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-developer-backend-ibm-india-pvt-limited-bengaluru-bangalore-6-to-8-years-191120903833?src=jobsearchDesk&sid=1607533518114428&xp=3&px=4,HOT JOB,Required Technical and Professional ExpertisePreferred Technical and Professional Exper...
63,Senior Software Developer- Backend,IBM India Pvt. Limited,Bengaluru,6-10 Yrs,"('MVC Architecture', 'Java', 'Software Development', 'GIT', 'Linux', 'Artificial Intelligence', 'Object Oriented Design', 'Rest Api')",20 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-senior-software-developer-backend-ibm-india-pvt-limited-bengaluru-bangalore-6-to-10-years-181120908161?src=jobsearchDesk&sid=1607533518114428&xp=4&px=4,HOT JOB,Required Technical and Professional ExpertisePreferred Technical and Professional Exper...
64,Team Lead - Java Developer,US based IT Firm. Global Leader in Cloud and Quality Management Software Solutions,Mumbai,8-13 Yrs,"('Java', 'CSS', 'SQL Queries', 'Spring Boot', 'HTML', 'Jenkins', 'Java Developer', 'HackerRank')",20 DAYS AGO,2020-12-09,"25,00,000 - 30,00,000 PA.",https://www.naukri.com/job-listings-team-lead-java-developer-us-based-it-firm-global-leader-in-cloud-and-quality-management-software-solutions-mumbai-8-to-13-years-181120000138?src=jobsearchDesk&sid=1607533518114428&xp=5&px=4,PREMIUM,Bachelors degree in Computer Science or related Proficient in writing SQL queriesProfic...
65,Senior Java Developer,US based IT Firm. Global Leader in Cloud and Quality Management Software Solutions,Mumbai,6-11 Yrs,"('Java', 'CSS', 'SQL Queries', 'Spring Boot', 'HTML', 'Jenkins', 'Java Developer', 'HackerRank')",20 DAYS AGO,2020-12-09,"20,00,000 - 30,00,000 PA.",https://www.naukri.com/job-listings-senior-java-developer-us-based-it-firm-global-leader-in-cloud-and-quality-management-software-solutions-mumbai-6-to-11-years-181120000134?src=jobsearchDesk&sid=1607533518114428&xp=6&px=4,PREMIUM,Bachelors degree in Computer Science or related Proficient in writing SQL queriesProfic...
66,Java Developer,US based IT Firm. Global Leader in Cloud and Quality Management Software Solutions,Mumbai,4-9 Yrs,"('Java', 'CSS', 'SQL Queries', 'Spring Boot', 'HTML', 'Jenkins', 'Java Developer', 'HackerRank')",20 DAYS AGO,2020-12-09,"15,00,000 - 30,00,000 PA.",https://www.naukri.com/job-listings-java-developer-us-based-it-firm-global-leader-in-cloud-and-quality-management-software-solutions-mumbai-4-to-9-years-181120000126?src=jobsearchDesk&sid=1607533518114428&xp=7&px=4,PREMIUM,Bachelors degree in Computer Science or related Proficient in writing SQL queriesProfic...
67,RSA - Software Engineer 2,Dell International Services IndiaPrivate Limited,Bengaluru,3-6 Yrs,"('Jenkins', 'Java', 'DevOps', 'C++', 'Git', 'Terraform', 'Linux', 'Azure Cloud')",22 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-rsa-software-engineer-2-dell-international-services-indiaprivate-limited-bengaluru-bangalore-3-to-6-years-171120903028?src=jobsearchDesk&sid=1607533518114428&xp=8&px=4,PREFERRED,Roles and ResponsibilitiesJob Title: Software Engineer 2About RSA:RSA oers mission-driv...
68,Cloud Developer (Go Lang),IBM India Pvt. Limited,Bengaluru,5-7 Yrs,"('REST API', 'C++', 'Software Development', 'C', 'Docker', 'Linux', 'Microservices', 'Web Services')",22 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-cloud-developer-go-lang-ibm-india-pvt-limited-bengaluru-bangalore-5-to-7-years-171120900501?src=jobsearchDesk&sid=1607533518114428&xp=9&px=4,HOT JOB,Your Role and ResponsibilitiesReview and implement functional business requirements and...
69,DigiLocker Developer,National e-Governance Division,Delhi,1-5 Yrs,"('IT Skills', 'Java', 'Python', 'PHP', 'Software Development', 'Javascript', 'java', 'Git')",28 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-digilocker-developer-national-e-governance-division-delhi-1-to-5-years-170920600178?src=jobsearchDesk&sid=1607533518114428&xp=10&px=4,PREFERRED,5*years experience in software development for any Startup or any product company ( *No...
70,DigiLocker Developer,National e-Governance Division,Delhi,1-5 Yrs,"('IT Skills', 'Java', 'Python', 'PHP', 'Software Development', 'Javascript', 'java', 'Git')",28 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-digilocker-developer-national-e-governance-division-delhi-1-to-5-years-160920003443?src=jobsearchDesk&sid=1607533518114428&xp=11&px=4,PREMIUM,5*years experience in software development for any Startup or any product company ( *No...
71,TM1 - Senior Software Engineer,Uber,Hyderabad,7-12 Yrs,"('Application support', 'Version control', 'GIT', 'Linux', 'Server administration', 'Financial planning', 'Forecasting', 'Analytics')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-tm1-senior-software-engineer-uber-hyderabad-secunderabad-7-to-12-years-130820500418?src=jobsearchDesk&sid=1607533518114428&xp=12&px=4,NULL,About the Role Uber is seeking a TM1 (Planning Analytics) Senior Engineer to join its F...
72,TM1 Software Engineer,Uber,Hyderabad,1-4 Yrs,"('Application support', 'Version control', 'GIT', 'Linux', 'Server administration', 'Financial planning', 'Forecasting', 'Analytics')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-tm1-software-engineer-uber-hyderabad-secunderabad-1-to-4-years-120820500580?src=jobsearchDesk&sid=1607533518114428&xp=13&px=4,NULL,About the Role Uber is seeking a TM1 (Planning Analytics) Engineer to join its Fintech ...
73,Senior Software Developer Backed For a leading Organisation,SUNSTONE EDUCATION TECHNOLOGY PVT. LTD,Delhi NCR,2-4 Yrs,"('Ubuntu', 'Software Development', 'NoSQL', 'GIT', 'Linux', 'Django', 'Data Structures', 'MongoDB')",28 DAYS AGO,2020-12-09,"12,00,000 PA.",https://www.naukri.com/job-listings-senior-software-developer-backed-for-a-leading-organisation-sunstone-education-technology-pvt-ltd-delhi-ncr-2-to-4-years-111120004969?src=jobsearchDesk&sid=1607533518114428&xp=14&px=4,HOT JOB,tech from a recognized instituteBeing a pro in Python is a mustProficient in NoSQL docu...
74,Software Development Engineer 1 (Remote),ThinkLink Inc,Bengaluru,1-4 Yrs,"('Software Development Life Cycle', 'GIT', 'Linux', 'Software Engineering', 'Django', 'Algorithm Design', 'Javascript', 'Go')",29 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-development-engineer-1-remote-thinklink-inc-bengaluru-bangalore-1-to-4-years-101120002635?src=jobsearchDesk&sid=1607533518114428&xp=15&px=4,HOT JOB,"Preferred Skill Stack:Go LangPython/Django, JavaScriptMySQL / MariaDB, MongoDBGit & Git..."
75,Node JS Developer,Collegedunia Web Private Limited,Gurgaon,1-3 Yrs,"('Front end', 'GIT', 'Linux', 'MySQL', 'Schema', 'Javascript', 'HTML', 'MongoDB')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-node-js-developer-collegedunia-web-private-limited-gurgaon-1-to-3-years-101020500327?src=jobsearchDesk&sid=1607533518114428&xp=16&px=4,NULL,Good understanding of Node.js and the most common packages in the ecosystem working kno...
76,Java Big Data Developer,EMINENCE CORE SOLUTIONS LLP,"Chennai, Bengaluru, Hyderabad",1-6 Yrs,"('Unix', 'Java', 'Product Management', 'Hadoop', 'Big Data', 'SQL Queries', 'SQL', 'HBase')",NULL,2020-12-09,"8,00,000 - 15,00,000 PA.",https://www.naukri.com/job-listings-java-big-data-developer-eminence-core-solutions-llp-chennai-bengaluru-bangalore-hyderabad-secunderabad-1-to-6-years-091220005658?src=jobsearchDesk&sid=1607533518114428&xp=17&px=4,HOT JOB,Bachelors Degree in Computer Science or related field preferred 3 years of practical ex...
77,Salesforce Heroku Developer,Syntel Private Limited,"Chennai, Pune, Mumbai",7-12 Yrs,"('Software Development', 'GIT', 'Docker', 'Heroku', 'Artificial Intelligence', 'Javascript', 'Es6', 'Node.Js')",21 DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-salesforce-heroku-developer-syntel-private-limited-chennai-pune-mumbai-7-to-12-years-091120000372?src=jobsearchDesk&sid=1607533518114428&xp=18&px=4,PREMIUM,Role - Salesforce Heroku/Einstein Analytics Experience - 7 to 12 YearsJob Location - Pu...
78,Backend Developer,LambdaTest,Noida,1-4 Yrs,"('IT Skills', 'Python', 'Javascript', 'Computer science', 'Backend', 'Version control', 'GIT', 'Linux')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-developer-lambdatest-noida-1-to-4-years-051120500005?src=jobsearchDesk&sid=1607533518114428&xp=19&px=4,NULL,"Experience with one or more general-purpose programming languages, including but not li..."
79,Software Developer,Angel & Genie,Bengaluru,5-10 Yrs,"('Cloud computing', 'Linux', 'Wordpress', 'Javascript', 'MongoDB', 'test driven development', 'Information technology', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-software-developer-angel-genie-bengaluru-bangalore-5-to-10-years-021120500015?src=jobsearchDesk&sid=1607533518114428&xp=20&px=4,NULL,Bachelor s Degree or equivalent work experience 5+ years of experience in Software Deve...
80,Full Stack Developer,Aexonic Technologies Pvt. Ltd.,"Pune, Ranchi, Bengaluru",3-7 Yrs,"('Firebase', 'Postgresql', 'VPC', 'Redis', 'Node.Js', 'Datadog', 'SageMaker', 'Git')",8 DAYS AGO,2020-12-09,"3,00,000 - 8,00,000 PA.",https://www.naukri.com/job-listings-full-stack-developer-aexonic-technologies-pvt-ltd-pune-ranchi-bengaluru-bangalore-3-to-7-years-011220002260?src=jobsearchDesk&sid=16075336004096002&xp=1&px=5,NULL,Must have a minimum of three years recent experience.-Implementing pre-approved UI
81,AI ChatBot Developer,Celexsa Technologies Pvt Ltd,Chennai,1-6 Yrs,"('bca', 'development', 'Postgresql', 'testing', 'mca', 'it', 'ios', 'tools')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-ai-chatbot-developer-celexsa-technologies-pvt-ltd-chennai-1-to-6-years-310718500309?src=jobsearchDesk&sid=16075336004096002&xp=2&px=5,NULL,AI ChatBot Developer - Job Details Location: Chennai Qualification: B.E. / MCA / MS IT ...
82,Full Stack Developer,ShopSocially,Pune,2-5 Yrs,"('assembly language', 'C', 'code', 'software', 'android', 'HTML', 'ajax', 'tools')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-full-stack-developer-shopsocially-pune-2-to-5-years-301216500675?src=jobsearchDesk&sid=16075336004096002&xp=3&px=5,NULL,• Using Python (Pylons framework) to develop complete product backend for a shopping en...
83,PHP Developers,Global Sena,Hyderabad,3-5 Yrs,"('assembly language', 'C', 'code', 'HTML', 'symfony', 'ajax', 'jquery', 'PHP Developers')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-php-developers-global-sena-hyderabad-secunderabad-3-to-5-years-280217502677?src=jobsearchDesk&sid=16075336004096002&xp=4&px=5,NULL,"• Will work with project manager to plan how the code will be written (UML design, etc...."
84,Backend Node Developer,Benchire,Gurgaon,1-4 Yrs,"('Automation', 'Backend', 'Front end', 'GIT', 'Linux', 'MySQL', 'MongoDB', 'Test cases')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-node-developer-benchire-gurgaon-1-to-4-years-270120500188?src=jobsearchDesk&sid=16075336004096002&xp=5&px=5,NULL,"Proficient understanding of code versioning tools, such as GitGood to have deployment e..."
85,Dot Net Developer,Webmyne Systems Pvt. Ltd.,Vadodara,1-4 Yrs,"('assembly language', 'server', 'C', 'software', 'developing', 'HTML', 'ajax', 'jquery')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-dot-net-developer-webmyne-systems-pvt-ltd-vadodara-baroda-1-to-4-years-250217500735?src=jobsearchDesk&sid=16075336004096002&xp=6&px=5,NULL,• Good Working Experience Of Softphone OR B2B PORTALS Development.• Asterisk Framework ...
86,Remote Web Developer,MonetizeMore,Mumbai,8-12 Yrs,"('GIT', 'Linux', 'Conflict management', 'Postgresql', 'Analytical', 'Web development', 'Javascript', 'Manager Technology')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-remote-web-developer-monetizemore-mumbai-8-to-12-years-240419500077?src=jobsearchDesk&sid=16075336004096002&xp=7&px=5,NULL,Technology MonetizeMore builds industry leading ad technology that is seen by more than...
87,Remote Web Developer,MonetizeMore,Delhi,8-12 Yrs,"('GIT', 'Linux', 'Conflict management', 'Postgresql', 'Analytical', 'Web development', 'Javascript', 'Manager Technology')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-remote-web-developer-monetizemore-delhi-8-to-12-years-240419500075?src=jobsearchDesk&sid=16075336004096002&xp=8&px=5,NULL,Integration of services to maximize ad revenues and maintain strong user experienceTech...
88,Big Data Python Developer,Xebia IT Architects India Pvt Ltd,"Bengaluru, Gurgaon",3-5 Yrs,"('Version control', 'GIT', 'Linux', 'Shell scripting', 'Agile', 'Workflow', 'Apache', 'SQL')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-big-data-python-developer-xebia-it-architects-india-pvt-ltd-bengaluru-bangalore-gurgaon-3-to-5-years-231019500024?src=jobsearchDesk&sid=16075336004096002&xp=9&px=5,NULL,We won't track your information when you decline. But in order to comply with your pref...
89,ISO Developers,Addis Infotech.,Ahmedabad,3-5 Yrs,"('assembly language', 'C', 'code', 'technical', 'HTML', 'graphics', 'ios', 'ajax')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-iso-developers-addis-infotech-ahmedabad-3-to-5-years-230217501595?src=jobsearchDesk&sid=16075336004096002&xp=10&px=5,NULL,"Produce top tier code. Design, develop, and test applications from the ground up. Work ..."
90,Backend Developer,Talent Zone Consultant,Delhi,2-6 Yrs,"('Backend', 'GIT', 'NoSQL', 'Linux', 'MySQL', 'PHP', 'MongoDB', 'JIRA')",30+ DAYS AGO,2020-12-09,Not disclosed,https://www.naukri.com/job-listings-backend-developer-talent-zone-consultant-delhi-2-to-6-years-230120500938?src=jobsearchDesk&sid=16075336004096002&xp=11&px=5,NULL,"The role requires you to architect, code, test, deploy and scale an in - house product ..."
